"EJE_DESCRIPCION","SERVICIO","PROYECTO","CODIGOBIP","ETAPAPROYECTO","FINANCIAMIENTO","NOMBREPROYECTO","REGIONGEOGRAFICA","FECHA_INICIO","FECHA_TERMINO","MONTO_VIGENTE_P","PROVINCIAS","COMUNAS"
"Competitividad / Conectividad","Dirección de Vialidad",45802,"40006898-0","TERMINADO","Sectorial","CONSERVACION DE SEGURIDAD VIAL EN ZONAS DE ESCUELA 2019","Interregional",01/01/19,12/03/23,16090062,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",45800,"30484612-0","TERMINADO","Sectorial","CONSERVACION Y OPERACION TUNELES C.REDENTOR Y CARACOLES 2018","Valparaíso",01/01/18,11/11/21,2626774,"LOS ANDES","LOS ANDES"
"Competitividad / Conectividad","Dirección de Vialidad",45798,"40032598-0","TERMINADO","Sectorial","DIAGNOSTICO SEGURIDAD VIAL VARIAS RUTAS DE LAS REG DE LOS LAGOS, AYSEN Y MAGALLANES","Interregional",15/12/22,18/02/24,480729,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",45797,"30466233-0","TERMINADO","Sectorial","DIAGNOSTICO SEGURIDAD VIAL VARIAS RUTAS RED VIAL NACIONAL ETAPA 2","Interregional",01/01/20,19/02/22,514901,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",45796,"30466144-0","TERMINADO","Sectorial","CONSERVACION SISTEMA SEÑALIZACION INFORMATIVA IX REGION 2017","La Araucanía",01/01/17,31/12/18,850486,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",45795,"30466137-0","TERMINADO","Sectorial","CONSERVACION SISTEMA SEÑALIZACION INFORMATIVA VII REG DEL MAULE 2017","Maule",01/01/17,20/01/18,594540,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",45794,"30484630-0","TERMINADO","Sectorial","CONSERVACION SISTEMA DE SEÑALIZACION INFORMATIVA REGION DE VALPARAISO 2018","Valparaíso",01/01/18,18/03/23,1929776,"VALPARAISO, ISLA DE PASCUA, LOS ANDES, PETORCA, QUILLOTA, SAN ANTONIO, SAN FELIPE, MARGA MARGA","VALPARAISO, CASABLANCA, CONCON, JUAN FERNANDEZ, PUCHUNCAVI, QUILPUE, QUINTERO, VILLA ALEMANA, VIÑA DEL MAR, ISLA DE PASCUA, LOS ANDES, CALLE LARGA, RINCONADA, SAN ESTEBAN, LA LIGUA, CABILDO, PAPUDO, PETORCA, ZAPALLAR, QUILLOTA, CALERA, HIJUELAS, LA CRUZ, NOGALES, OLMUE, SAN ANTONIO, ALGARROBO, CARTAGENA, EL QUISCO, EL TABO, SANTO DOMINGO, SAN FELIPE, CATEMU, LLAILLAY, PANQUEHUE, PUTAENDO, SANTA MARIA, QUILPUE, LIMACHE, OLMUE, VILLA ALEMANA"
"Competitividad / Conectividad","Dirección de Vialidad",45793,"40006900-0","TERMINADO","Sectorial","CONSERVACION DE SEGURIDAD VIAL EN PASADAS ZONAS URBANAS-TRAVESIAS 2019","Interregional",01/01/19,28/12/21,13391268,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",45792,"30466158-0","EN EJECUCION","Sectorial","CONSERVACION DE SEGURIDAD VIAL PASADAS ZONAS POBLADAS-TRAVESIAS 2017","Interregional",01/01/17,01/12/24,6382541,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",45790,"30484633-0","TERMINADO","Sectorial","CONSERVACION SISTEMA SEÑALIZACION INFORMATIVA XIV REGION 2018","Los Ríos",01/01/19,09/07/21,970230,"VALDIVIA, RANCO","VALDIVIA, CORRAL, LANCO, LOS LAGOS, MAFIL, MARIQUINA, PAILLACO, PANGUIPULLI, LA UNION, FUTRONO, LAGO RANCO, RIO BUENO"
"Competitividad / Conectividad","Dirección de Vialidad",45789,"30466183-0","TERMINADO","Sectorial","CONSERVACION SISTEMA SEÑALIZACION INFORMATIVA XII REGION 2018","Magallanes y de la Antártica Chilena",01/01/18,01/10/19,556810,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",45788,"30466145-0","TERMINADO","Sectorial","CONSERVACION SISTEMA DE SEÑALIZACION INFORMATIVA X REGION 2017","Los Lagos",01/01/17,31/12/18,661981,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",45787,"30466141-0","TERMINADO","Sectorial","CONSERVACION SISTEMA SEÑALIZACION INFORMATIVA VIII REGION 2017","Interregional",01/01/19,20/10/20,462385,"CONCEPCION, ARAUCO, BIO BIO, DIGUILLÍN, ITATA, PUNILLA","CONCEPCION, CORONEL, CHIGUAYANTE, FLORIDA, HUALQUI, LOTA, PENCO, SAN PEDRO DE LA PAZ, SANTA JUANA, TALCAHUANO, TOME, HUALPEN, LEBU, ARAUCO, CAÑETE, CONTULMO, CURANILAHUE, LOS ALAMOS, TIRUA, ALTO BIO BIO, LOS ANGELES, ANTUCO, CABRERO, LAJA, MULCHEN, NACIMIENTO, NEGRETE, QUILACO, QUILLECO, SAN ROSENDO, SANTA BARBARA, TUCAPEL, YUMBEL, CHILLAN, BULNES, EL CARMEN, PEMUCO, PINTO, QUILLON, SAN IGNACIO, YUNGAY, QUIRIHUE, COBQUECURA, COELEMU, NINHUE, PORTEZUELO, RANQUIL, TREGUACO, SAN CARLOS, COIHUECO, ÑIQUEN, SAN FABIAN, SAN NICOLAS"
"Competitividad / Conectividad","Dirección de Vialidad",45786,"30484634-0","TERMINADO","Sectorial","CONSERVACION SISTEMA SEÑALIZACION INFORMATIVA VI REGION 2018","Libertador General Bernardo O'Higgins",01/01/18,04/06/20,1165062,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",45785,"30466094-0","TERMINADO","Sectorial","CONSERVACION SISTEMA DE SEÑALIZACION INFORMATIVA REG COQUIMBO 2017","Coquimbo",01/01/17,31/12/18,517891,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",45784,"30466093-0","TERMINADO","Sectorial","CONSERVACION SISTEMA DE SEÑALIZACION INFORMATIV REG ANTOFAGASTA 2018","Antofagasta",01/01/18,01/10/19,873245,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",45783,"30466089-0","TERMINADO","Sectorial","CONSERVACION SISTEMA DE SEÑALIZACIÓN INFORMATIVA REG TARAPACÁ 2018","Tarapacá",01/01/18,02/11/20,1310449,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",45782,"30466161-0","EN EJECUCION","Sectorial","CONSERVACION DE SEGURIDAD VIAL EN ZONAS DE ESCUELAS 2017-2019","Interregional",01/01/17,01/12/24,6445359,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",45452,"30370342-0","TERMINADO","Extrasectorial","CONSERVACION DE CAMINOS BASICOS, GRUPO 12, REGION DE O`HIGGINS","Libertador General Bernardo O'Higgins",12/11/15,07/09/16,945983.793,"INTERPROVINCIAL","INTERCOMUNAL"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",45449,"30375939-0","PREFACTIBILIDAD","Sectorial","CONSTRUCCION PARQUE NÁUTICO DEPORTIVO COMUNA DE VALDIVIA","Los Ríos",01/01/16,26/09/18,355791,"VALDIVIA","VALDIVIA"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",45448,"30099415-0","TERMINADO","Sectorial","REPARACION PARCIAL BASILICA  DEL SALVADOR DE SANTIAGO","Metropolitana de Santiago",01/01/16,12/12/18,1148541,"SANTIAGO","SANTIAGO"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",45015,"30439322-0","TERMINADO","Mixto","HABILITACION TERRAZA ENTRE PLAYA GRANDE Y PLAYA CHICA CARTAGENA","Valparaíso",07/06/17,29/03/19,679739,"SAN ANTONIO","CARTAGENA"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",44974,"30437224-0","EN EJECUCION","Sectorial","CONSERVACION OBRAS PORTUARIAS COSTERAS MENORES 2016-2021 VALPARAISO","Valparaíso",01/01/16,30/12/24,30573165,"VALPARAISO, ISLA DE PASCUA, PETORCA, SAN ANTONIO","VALPARAISO, CONCON, JUAN FERNANDEZ, PUCHUNCAVI, QUINTERO, VIÑA DEL MAR, ISLA DE PASCUA, LA LIGUA, PAPUDO, ZAPALLAR, SAN ANTONIO, ALGARROBO, CARTAGENA, EL QUISCO, EL TABO, SANTO DOMINGO"
"Competitividad / Conectividad","Dirección de Vialidad",44951,"30458882-0","EN EJECUCION","Sectorial","MEJORAMIENTO PASO FRONTERIZO R 9-253-CH,S:AVDA.ULTIMA ESPERANZA-CASAS VIEJAS ","Magallanes y de la Antártica Chilena",01/01/20,30/12/31,52821317,"ULTIMA ESPERANZA","NATALES"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",44704,"30437133-0","TERMINADO","Sectorial","CONSTRUCCION OBRAS TERRESTRES CALETA CARAMUCHO, IQUIQUE","Tarapacá",01/01/16,28/12/17,960391,"IQUIQUE","IQUIQUE"
"Seguridad hídrica","Dirección de Obras Hidráulicas",44543,"30437781-0","EN EJECUCION","Sectorial","CONSERVACION EMBALSE CHACRILLAS REGION DE VALPARAISO","Valparaíso",01/01/16,17/10/25,9049051,"SAN FELIPE","PUTAENDO"
"Competitividad / Conectividad","Dirección de Vialidad",44534,"30482035-0","TERMINADO","Sectorial","MEJORAMIENTO CBI RUTA D-37 E, SECTOR TUNEL LAS PALMAS - TILAMA.","Coquimbo",01/01/18,30/12/19,3391800,"CHOAPA","LOS VILOS"
"Competitividad / Conectividad","Dirección de Vialidad",44533,"30458379-0","TERMINADO","Sectorial","MEJORAMIENTO CBI RUTA D-37 E, SECTOR TILAMA-CAIMANES, PROV. CHOAPA","Coquimbo",01/01/19,14/09/20,3737433,"CHOAPA","LOS VILOS"
"Competitividad / Conectividad","Dirección de Vialidad",44529,"40004544-0","DISEÑO","Sectorial","CONSTRUCCION RUTA DE ACCESO CALETA PUERTO MANSO,CANELA","Coquimbo",01/01/21,30/12/32,3926366,"CHOAPA","CANELA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44525,"30369473-0","TERMINADO","Sectorial","MEJORAMIENTO SISTEMA AGUA POTABLE RURAL VISVIRI","Arica y Parinacota",12/05/16,31/12/16,1299325,"ARICA","ARICA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44523,"30365527-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO APR COPIHUE HUALONCO, LONGAVI","Maule",05/10/16,02/06/17,993985,"LINARES","LONGAVI"
"Competitividad / Conectividad","Dirección de Vialidad",44514,"30461075-0","EN EJECUCION","Sectorial","MEJORAMIENTO RUTA S-61 SECTOR: MELIPEUCO - ICALMA - PASO ICALMA","La Araucanía",01/01/18,30/12/28,25139944,"CAUTIN, MALLECO","MELIPEUCO, LONQUIMAY"
"Competitividad / Conectividad","Dirección de Vialidad",44507,"30444722-0","EN EJECUCION","Sectorial","REPOSICION PUENTE CARES, CURARREHUE","La Araucanía",01/01/17,01/12/24,1048134,"CAUTIN","CURARREHUE"
"Competitividad / Conectividad","Dirección de Vialidad",44491,"30458989-0","TERMINADO","Sectorial","MEJORAMIENTO CBI CRUCE S-269-GRAL LOPEZ- PADRE LAS CASAS","La Araucanía",01/01/17,21/12/23,3970961,"CAUTIN","PADRE LAS CASAS"
"Competitividad / Conectividad","Dirección de Vialidad",44486,"30483134-0","EN EJECUCION","Sectorial","MEJORAMIENTO CBI CAMINO PUENTE PAYA-HUIÑOCO, LONCOCHE","La Araucanía",01/01/18,01/12/24,5886183,"CAUTIN","LONCOCHE"
"Competitividad / Conectividad","Dirección de Vialidad",44485,"40017277-0","EN EJECUCION","Sectorial","MEJORAMIENTO RUTA S-192, GALVARINO - RUCATRARO, TRAMO DM 0 A DM 12","La Araucanía",01/01/20,01/12/24,9174996,"CAUTIN","GALVARINO"
"Competitividad / Conectividad","Dirección de Vialidad",44482,"40018637-0","EN EJECUCION","Sectorial","MEJORAMIENTO CBI IMPERIAL CARAHUE POR EL BAJO","La Araucanía",01/01/21,01/12/24,7370226,"CAUTIN","CARAHUE, NUEVA IMPERIAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44481,"30354089-0","TERMINADO","Sectorial","CONSTRUCCION SISTEMA APR HIGUERITAS UNIDAS, COMUNA OVALLE","Coquimbo",09/05/16,31/03/18,793593,"LIMARI","OVALLE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44480,"30356575-0","TERMINADO","Sectorial","AMPLIACION SISTEMA APR  BELLAVISTA CERES, COMUNA DE LA SERENA","Coquimbo",02/11/16,28/09/17,951238,"ELQUI","LA SERENA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44478,"30395576-0","TERMINADO","Sectorial","MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE APR CHOLQUI, MELIPILLA","Metropolitana de Santiago",26/09/16,21/09/17,2316038,"MELIPILLA","MELIPILLA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44477,"30133964-0","TERMINADO","Sectorial","AMPLIACION Y MEJORAMIENTO SISTEMA APR PITRIUCO, LAGO RANCO","Los Ríos",07/06/16,01/08/17,2215538,"RANCO","LAGO RANCO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44476,"30380082-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO AGUA POTABLE RURAL ISLA CHIDHUAPI, CALBUCO","Los Lagos",16/04/16,12/12/16,543325,"LLANQUIHUE","CALBUCO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44475,"30395472-0","TERMINADO","Sectorial","CONSTRUCCION SISTEMA DE AGUA POTABLE RURAL GRAN PANGAL","Aysén del General Carlos Ibáñez del Campo",18/02/16,14/11/16,1023690,"AYSEN","AYSEN"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44474,"30376281-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO APR SAN JOSE BIO BIO, LOS ANGELES","Biobío",21/04/16,28/10/16,589820,"BIO BIO","LOS ANGELES"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44473,"30376222-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO APR PEÑAFLOR, LOS ANGELES","Biobío",13/05/16,08/04/17,1539805,"BIO BIO","LOS ANGELES"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44472,"30338872-0","TERMINADO","Sectorial","MEJORAMIENTO Y AMPLIACIÓN SERVICIO APR TIRUA, COMUNA TIRUA","Biobío",20/04/16,21/03/18,5017503,"ARAUCO","TIRUA"
"Seguridad hídrica","Dirección de Obras Hidráulicas",44471,"30190522-0","DISEÑO","Sectorial","CONSTRUCCION SISTEMA REGADIO EMBALSE ZAPALLAR, RIO DIGUILLIN, ÑUBLE","Ñuble",13/05/16,30/12/25,33113780,"DIGUILLÍN","EL CARMEN"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44470,"30391623-0","TERMINADO","Sectorial","MEJORAMIENTO Y AMPLIACION APR ESPERANZA SANTA MONICA,PADRE HURTADO","Metropolitana de Santiago",08/08/17,12/02/21,6364468,"TALAGANTE","PADRE HURTADO"
"Competitividad / Conectividad","Dirección de Vialidad",44469,"30458053-0","DISEÑO","Sectorial","MEJORAMIENTO RUTA 226 SECTOR: RUTA 5 - LAGUNITAS, PUERTO MONTT","Los Lagos",01/01/17,30/12/30,93214152,"LLANQUIHUE","PUERTO MONTT"
"Competitividad / Conectividad","Dirección de Vialidad",44468,"30483939-0","PREFACTIBILIDAD","Sectorial","CONSTRUCCION INTERCONEXION VIAL RUTAS T-80 U-10 S:TRUMAO REG. XIV-X","Interregional",01/01/18,19/09/20,34312,"OSORNO","SAN PABLO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44465,"30385678-0","TERMINADO","Sectorial","AMPLIACION SERVICIO DE APR EL LUCERO, SECTOR EL MOLINO, LAMPA","Metropolitana de Santiago",20/12/16,31/08/17,473755,"CHACABUCO","LAMPA"
"Competitividad / Conectividad","Dirección de Vialidad",44464,"30458872-0","EN EJECUCION","Sectorial","MEJORAMIENTO W-883. SECTOR: APECHE - CRUCE RUTA W-853,QUEILEN","Los Lagos",01/01/18,01/12/24,6816607,"CHILOE","QUEILEN"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44463,"30402177-0","TERMINADO","Sectorial","MEJORAMIENTO Y AMPLIACIÓN APR LA LINEA, COMUNA ALHUE","Metropolitana de Santiago",10/11/16,15/11/17,1214112,"MELIPILLA","ALHUE"
"Competitividad / Conectividad","Dirección de Vialidad",44461,"30342673-0","EN EJECUCION","Extrasectorial","CONSTRUCCION CAMINO RUTA W-807 , SECTOR: PUENTE NEGRO-PUENTE AQUELLAS, CHAITEN ","Los Lagos",23/03/21,24/12/25,4048965.588,"PALENA","CHAITEN"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44450,"30388173-0","TERMINADO","Sectorial","AMPLIACION Y MEJORAMIENTO DE APR CAMPUSANO-LA ESTANCILLA, BUIN","Metropolitana de Santiago",13/12/16,11/05/24,5018610,"MAIPO","BUIN"
"Competitividad / Conectividad","Dirección de Vialidad",44443,"30482582-0","DISEÑO","Sectorial","CONSERVACION PUENTE COLGANTE PRESIDENTE IBAÑEZ, AYSÉN","Aysén del General Carlos Ibáñez del Campo",01/01/19,30/12/28,15275158,"AYSEN","AYSEN"
"Competitividad / Conectividad","Dirección de Vialidad",44441,"30443927-0","TERMINADO","Sectorial","REPOSICION PUENTE BAGUALES 2, EN RUTA 240","Aysén del General Carlos Ibáñez del Campo",01/01/17,03/11/20,4782950,"COIHAIQUE","COIHAIQUE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44438,"30136867-0","TERMINADO","Sectorial","MEJORAMIENTO Y AMPLIACIÓN AGUA POTABLE COIGUE PAINEMAL, CHOL CHOL","La Araucanía",13/04/16,09/12/16,524497,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",44435,"30483632-0","FACTIBILIDAD","Sectorial","AMPLIACION RUTA 76 S: ESQUINA BLANCA -AVENIDA PARQUE CENTRAL, RM","Metropolitana de Santiago",01/01/21,30/12/26,1060509,"SANTIAGO","CERRILLOS"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44426,"30426878-0","TERMINADO","Sectorial","CONSERVACION SISTEMA AGUA POTABLE RURAL CORRENTOSO, PUERTO MONTT","Los Lagos",19/05/16,30/12/16,252740,"LLANQUIHUE","PUERTO MONTT"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44425,"30407572-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO APR DE EL MAITEN, PAILLACO","Los Ríos",16/03/16,31/12/16,401951,"VALDIVIA","PAILLACO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44424,"30397139-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO APR DE CERROS DE CORRAL, CORRAL","Los Ríos",08/06/16,02/02/18,818986,"VALDIVIA","CORRAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44423,"30385633-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO APR DE BOQUIAL, RIO BUENO","Los Ríos",15/03/16,14/07/17,1993966,"RANCO","RIO BUENO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44422,"30374225-0","TERMINADO","Sectorial","AMPLIACION Y MEJORAMIENTO SERVICIO APR DE CHOROICO, LA UNIÓN","Los Ríos",10/03/16,18/02/17,1142844,"RANCO","LA UNION"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44421,"30244122-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO APR DE PUMOL, FUTRONO","Los Ríos",15/03/16,03/11/18,1006186,"RANCO","FUTRONO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44420,"30380922-0","TERMINADO","Sectorial","CONSTRUCCION SISTEMA AGUA POTABLE PUENTE BASAS CHICO, CURARREHUE","La Araucanía",10/05/16,31/05/17,1557137,"CAUTIN","CURARREHUE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44419,"20178171-0","TERMINADO","Sectorial","CONSTRUCCION SISTEMA AGUA POTABLE HUENTELAR,REPOCURA,HUEICO CHOLCHOL","La Araucanía",02/06/16,29/12/17,1353383,"CAUTIN","INTERCOMUNAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44418,"30247572-0","TERMINADO","Sectorial","AMPLIACION APR UNION CORDILLERA A QUECHEREHUE,HUERERE,OTROS, CUNCO","La Araucanía",15/04/16,24/04/19,6939825,"CAUTIN","CUNCO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44417,"30376223-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO APR CANTARRANA, LOS ANGELES","Biobío",02/03/16,08/09/16,888695,"BIO BIO","LOS ANGELES"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44416,"30351926-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO APR LAS VERTIENTES, CHILLAN","Ñuble",08/03/16,14/09/16,943553,"DIGUILLÍN","CHILLAN"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44415,"30325333-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO APR EL LUCERO, RETIRO","Maule",13/01/16,13/12/16,1382203,"LINARES","RETIRO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44414,"30135993-0","TERMINADO","Sectorial","MEJORAMIENTO Y AMPLIACIÓN SERVICIO APR PERALILLO HACIA PARRONAL","Maule",13/01/16,22/04/17,979993,"CURICO","HUALAÑE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44413,"30135651-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO APR PALO BLANCO","Maule",11/01/16,08/08/16,505974,"TALCA","SAN RAFAEL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44412,"30426977-0","TERMINADO","Sectorial","CONSERVACION DE OBRAS, REGIÓN DE COQUIMBO (TERREMOTO)","Coquimbo",14/10/15,25/02/17,3866851,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44411,"30116148-0","TERMINADO","Sectorial","CONSTRUCCION SISTEMA DE AGUA POTABLE RURAL PAGO DE GOMEZ, ARICA","Arica y Parinacota",21/01/16,26/12/16,1652309,"ARICA","ARICA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44410,"30423030-0","TERMINADO","Sectorial","CONSERVACION SONDAJE POZO APR SAN PEDRO DE ATACAMA","Antofagasta",19/10/15,18/11/15,298348,"EL LOA","SAN PEDRO DE ATACAMA"
"Competitividad / Conectividad","Dirección de Vialidad",44409,"30481973-0","EN EJECUCION","Sectorial","CONSERVACION CAMINOS PARA COMPENSACIONES VIALES EMBALSE PUNILLA I","Ñuble",01/01/18,30/12/30,21232220,"PUNILLA","COIHUECO, SAN FABIAN"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",44405,"30398523-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIOS A.P.R DE NIHUE MEDIO Y BAJO,COMUNA SAN PEDRO","Metropolitana de Santiago",21/07/16,26/05/17,1182717,"MELIPILLA","SAN PEDRO"
"Competitividad / Conectividad","Dirección de Vialidad",44402,"30458878-0","TERMINADO","Sectorial","CONSERVACION RUTA N-31, SAN CARLOS-SAN FABIAN POR SECTORES","Ñuble",01/01/18,30/12/19,4888675,"PUNILLA","SAN CARLOS, SAN FABIAN"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",44383,"30104758-0","TERMINADO","Sectorial","RESTAURACION FARO MONUMENTAL DE LA SERENA","Coquimbo",01/01/19,26/10/21,1827499,"ELQUI","LA SERENA"
"Competitividad / Conectividad","Dirección de Vialidad",44239,"40031002-0","DISEÑO","Sectorial","MEJORAMIENTO RUTA 23-CH SECTOR: TOCONAO - SOCAIRE","Antofagasta",01/01/22,30/12/34,46793470,"EL LOA","SAN PEDRO DE ATACAMA"
"Competitividad / Conectividad","Dirección de Vialidad",44238,"30483148-0","EN EJECUCION","Sectorial","MEJORAMIENTO PASO FRONTERIZO RUTA 21-CH SECTOR: CEBOLLAR - OLLAGUE","Antofagasta",01/01/19,30/12/27,64280749,"EL LOA","CALAMA, OLLAGUE"
"Competitividad / Conectividad","Dirección de Vialidad",44236,"30427024-0","EN EJECUCION","Sectorial","MEJORAMIENTO RUTA B-385, B-367 Y B-355 HASTA PEINE, REG. ANTOFAGASTA","Antofagasta",01/01/16,29/03/26,85968404,"EL LOA","SAN PEDRO DE ATACAMA"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Portuarias",44232,"30427824-0","TERMINADO","Sectorial","REPOSICION DE LA COSTANERA DE COQUIMBO, REGION DE COQUIMBO","Coquimbo",01/01/20,13/05/24,7427250,"ELQUI","COQUIMBO"
"Competitividad / Conectividad","Dirección de Obras Portuarias",44231,"30426324-0","TERMINADO","Sectorial","CONSTRUCCION RAMPA BARCAZAS L. TAGUA TAGUA SECTOR EL CANELO,COCHAMO","Los Lagos",12/03/12,12/06/12,138496,"LLANQUIHUE","COCHAMO"
"Competitividad / Conectividad","Dirección de Aeropuertos",44230,"30436325-0","PREFACTIBILIDAD","Sectorial","AMPLIACION Y MEJORAMIENTO AERODROMO EL LOA DE CALAMA, REGIÓN DE ANTOFAGASTA ","Antofagasta",01/01/18,09/09/23,944912,"EL LOA","CALAMA"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",44226,"30426875-0","TERMINADO","Mixto","CONSTRUCCION INFRAESTRUCTURA PESQUERA ARTESANAL CALETA SIERRA,OVALLE","Coquimbo",24/07/17,26/08/20,1494708,"LIMARI","OVALLE"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",44224,"30426876-0","EN EJECUCION","Mixto","CONSTRUCCION INFR. PESQUERA ARTESANAL CALETA TALQUILLA, OVALLE","Coquimbo",24/07/17,26/11/24,2843757,"LIMARI","OVALLE"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",44223,"30426872-0","TERMINADO","Sectorial","CONSTRUCCION INFRAESTRUCTURA PESQUERA ARTESANAL CALETA TALCARUCA","Coquimbo",01/01/20,28/01/22,1412276,"LIMARI","OVALLE"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",44222,"30426376-0","TERMINADO","Sectorial","CONSTRUCCION INFRAESTRUCTURA PESQUERA ARTESANAL CALETA TALCA, OVALLE","Coquimbo",01/01/20,20/10/21,861869,"LIMARI","OVALLE"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",44219,"30426830-0","EN EJECUCION","Mixto","CONSTRUCCION INFR. PESQUERA ARTESANAL CALETA PTO. OSCURO, CANELA","Coquimbo",08/11/23,03/02/25,4410341,"CHOAPA","CANELA"
